%"phi","phi_dot","elevations","pressure","dphi_dn","fluid_vel_x","fluid_vel_y","fluid_vel_z","nodes_vel_x","nodes_vel_y","nodes_vel_z","break_wave_press","comp_1","comp_2","comp_3","comp_4","iges_normals_x","iges_normals_y","iges_normals_z","Points:0","Points:1","Points:2"
-0.175561657,-0.006378914448,0,114625.9531,0,2.097454349,-3.790426673e-09,-4.339404718e-06,0,0,0,0,2254.86377,-2254.86377,114619.4219,6.53902553,0,0,0,-51.29032898,0.4690400167,-11.39785099
-0.1756592811,-0.006270795534,0.000637097338,0.09305195109,0,2.097453653,8.891975533e-10,-1.153035575e-05,0,0,-1.902407071e-05,0,2254.86377,-2254.86377,-6.331762575,6.428192613,0,0,0,-51.29032898,0.4690400167,0.0006296357304
-0.1606637355,-0.00550151356,0.002276224058,-17.00046425,0,2.097463968,-7.606289849e-08,0.0001638692527,0,0,-1.308748236e-06,0,2254.86377,-2254.86377,-22.61416202,5.639601504,0,0,0,51.29032898,0.4690400167,0.00224877119
-0.1614833178,-0.0058038165,0.0001825937377,105189.9805,0,2.097462436,-7.620184643e-08,2.707102932e-05,0,0,2.989439226e-07,0,2254.86377,-2254.86377,105184.0588,5.949492285,0,0,0,51.29032898,0.4690400167,-10.45959061
-0.1755489723,-0.006423033672,0.0006549900718,-0.006584201744,-1.706443473e-05,2.097470284,3.027264059e-09,-1.688205238e-05,-2.553234226e-10,9.164960412e-14,-1.966669723e-05,7.608918924e-14,2254.86377,-2254.902852,-6.551750432,6.584251815,0,0,0,-39.13452514,0.4690400167,0.0006515115354
-0.1752191026,-0.006675663448,0.000672240693,-0.01150394882,-6.291664729e-06,2.097483426,9.672501522e-09,-6.243203775e-06,-2.530737609e-09,9.084455301e-13,-9.920781447e-06,-2.663119581e-13,2254.86377,-2254.931193,-6.787211397,6.843222206,0,0,0,-26.97873784,0.4690400167,0.0006749259577
-0.1711132228,-0.006823876209,2.923998365e-16,114625.7773,0,2.097746707,-1.343678838e-06,-8.700047582e-20,0,0,0,0,2254.86377,-2255.497391,114619.4219,6.995176354,0,0,0,3.031820774,0.4690400167,-11.39785099
-0.172269392,-0.006836598499,2.923998365e-16,114625.5194,0,2.097873955,1.318405163e-06,-2.354125055e-21,0,0,0,0,2254.86377,-2255.771184,114619.4219,7.008227187,0,0,0,-7.343934214e-17,0.4690400167,-11.39785099
-0.1732533915,-0.006839129764,-1.776356839e-15,114625.8541,0,2.097720638,2.234316825e-06,8.831461215e-20,0,0,0,0,2254.86377,-2255.44156,114619.4219,7.010811012,0,0,0,-2.667104483,0.4690400167,-11.39785099
-0.1754601292,-0.006462660986,0,114626.0078,0,2.097467661,-2.603761896e-09,-1.567026958e-07,0,0,0,0,2254.86377,-2254.897451,114619.4219,6.624874949,0,0,0,-39.13452148,0.4690400167,-11.39785099
-0.1751767529,-0.006632374196,0,114626.1562,0,2.097479621,2.700830252e-09,-6.988708376e-08,0,0,0,0,2254.86377,-2254.923176,114619.4219,6.79884913,0,0,0,-26.9787159,0.4690400167,-11.39785099
-0.1614833166,-0.005803816462,0.0001825937377,105189.9807,0,2.097462436,-7.620184588e-08,2.707102932e-05,0,0,2.989442033e-07,0,2254.86377,-2254.86377,105184.0585,5.949492245,0,0,0,51.29032898,0.4690400167,-10.45959059
-0.1615455092,-0.005830897135,0,114625.3678,0,2.097463888,1.747022942e-07,2.392226094e-05,0,0,0,0,2254.86377,-2254.86377,114619.4219,5.977252642,0,0,0,51.29032898,0.4690400167,-11.39785099
-0.1750389997,-0.006749824015,0.0006851528173,-0.05762166811,-6.325123102e-06,2.097477685,4.684804217e-07,-6.325034308e-06,-8.37263823e-09,2.653503919e-11,-1.249083053e-05,5.232373282e-12,2254.86377,-2254.919028,-6.921594101,6.91924478,0,0,0,-20.90088672,0.4690399871,0.0006882890514
-0.1749076803,-0.006705107612,0.0006786697001,0.0234201049,-4.735062965e-06,2.097471548,8.043219497e-07,-4.735420109e-06,-2.2949955e-08,2.412147661e-10,2.732390854e-06,-2.066327635e-11,2254.86377,-2254.905706,-6.808046328,6.873405782,0,0,0,-14.82310923,0.4690399983,0.0006769978073
-0.1752191026,-0.006675663429,0.000672240693,-0.01150395235,-6.291664729e-06,2.097483436,9.672501773e-09,-6.243203793e-06,-2.530737609e-09,9.084444638e-13,-9.920781709e-06,-2.663119615e-13,2254.86377,-2254.931193,-6.787211377,6.843222206,0,0,0,-26.97873784,0.4690400167,0.0006749259601
-0.1697037541,-0.006773165896,0,114625.9727,0,2.097632685,-9.11463286e-07,4.156426445e-20,0,0,0,0,2254.86377,-2255.252212,114619.4219,6.943185058,0,0,0,9.064134598,0.4690400167,-11.39785099
-0.168644182,-0.006683718979,-1.461999183e-16,114625.8184,0,2.097662617,6.821360935e-07,-1.215745351e-20,0,0,0,0,2254.86377,-2255.316362,114619.4219,6.851495212,0,0,0,15.09644794,0.4690400167,-11.39785099
-0.1670492349,-0.006557943314,0,114625.5013,0,2.0977492,6.130289861e-07,1.141684712e-20,0,0,0,0,2254.86377,-2255.503025,114619.4219,6.722568683,0,0,0,21.12876129,0.4690400167,-11.39785099
-0.1652575863,-0.006403919044,1.461999183e-16,114625.3685,0,2.097736541,1.860905538e-07,1.201611751e-20,0,0,0,0,2254.86377,-2255.475675,114619.4219,6.564677359,0,0,0,27.16107368,0.4690400167,-11.39785099
-0.1749931188,-0.006700712227,0,114626.2181,0,2.0974855,1.230442424e-07,-1.346466838e-21,0,0,0,0,2254.86377,-2254.935969,114619.4219,6.868902693,0,0,0,-20.90081406,0.4690400167,-11.39785099
-0.1747876229,-0.006756247916,0,114626.2787,0,2.09748219,6.413355869e-07,9.419324354e-21,0,0,0,0,2254.86377,-2254.928557,114619.4219,6.925831875,0,0,0,-14.82291031,0.4690400167,-11.39785099
-0.1744482158,-0.006809984103,-1.461999183e-16,114626.1537,0,2.097566668,2.115417093e-06,-3.045635895e-20,0,0,0,0,2254.86377,-2255.110155,114619.4219,6.98092262,0,0,0,-8.745007515,0.4690400167,-11.39785099
-0.1608921978,-0.005710732778,0.00182830733,-12.61941134,0.0001218373963,2.097521642,1.194863334e-06,0.0001218406764,-4.012141197e-12,5.861597452e-13,2.546452733e-05,0.01239175195,2254.86377,-2255.013394,-18.32375352,5.854072142,0,0,0,45.26051116,0.4690400128,0.001822129273
-0.1616632533,-0.006009106806,0.001473143679,-9.109527238,0.0001861821592,2.097649094,1.076325023e-06,0.0001861966845,-1.058090283e-11,1.712003482e-12,2.776870324e-05,0.008757770757,2254.86377,-2255.287306,-14.84580018,6.159935608,0,0,0,39.23061151,0.4690400074,0.00147627878
-0.1631440056,-0.006235521481,0.00110312674,-5.320967996,0.0001305334287,2.097730559,-1.120046099e-05,0.0001305323583,-2.519196163e-11,6.54022092e-12,2.113338897e-05,0.005579591808,2254.86377,-2255.462634,-11.11412366,6.392033189,0,0,0,33.20058372,0.4690399945,0.001105197703
-0.1749490907,-0.006725314777,0.0006970467682,0.08450877845,5.716794882e-05,2.097363418,6.181233524e-06,5.716886913e-05,-4.823395541e-08,1.231594851e-09,2.731296701e-05,2.843000544e-14,2254.86377,-2254.673337,-7.000110671,6.894119898,0,0,0,-11.78437542,0.4690399846,0.0006960968393
-0.1755236935,-0.006834516479,0.0007600792945,-0.09778691198,0.0001067450827,2.097176939,2.26831773e-05,0.000106727996,-8.800289722e-08,3.584756867e-09,4.730344813e-05,-2.07104606e-11,2254.86377,-2254.272165,-7.695294564,7.006062919,0,0,0,-8.745753646,0.4690399931,0.0007652265461
-0.1749076803,-0.006705107612,0.0006786697049,0.02342010965,-4.735062965e-06,2.097471548,8.043219551e-07,-4.735420071e-06,-2.294995676e-08,2.41215059e-10,2.732391041e-06,-2.066327635e-11,2254.86377,-2254.905706,-6.808046328,6.873405821,0,0,0,-14.82310923,0.4690399983,0.0006769978073
-0.1634443274,-0.006321364142,0.001044145895,-4.205468249,0.0003298279903,2.097539951,2.367235608e-06,0.0003298489225,-3.848538114e-11,1.577391203e-11,2.0394672e-05,0.004206915962,2254.86377,-2255.052788,-10.496379,6.480030589,0,0,0,30.1854981,0.4690400078,0.001043768693
-0.1647877803,-0.006392162288,0.0008645335603,-3.007081355,-0.000520770135,2.09786611,1.909102345e-05,-0.0005208284331,-6.077873763e-11,2.806325767e-11,1.958370181e-05,0.003008770171,2254.86377,-2255.754597,-8.66847385,6.552605258,0,0,0,27.17033777,0.4690399864,0.0008620002497
-0.1660002829,-0.006460736146,0.0008333477995,-3.041641317,0.0003053838199,2.09806217,6.102823465e-06,0.000305473104,-9.695174553e-11,6.8704252e-11,1.521070604e-05,0.001965132756,2254.86377,-2256.175691,-8.352450525,6.622900455,0,0,0,24.15507594,0.4690399931,0.0008305746522
-0.1675558046,-0.006537838998,0.0005184281588,0.3648512594,0.0007383783459,2.097988435,-1.082083008e-05,0.0007383702719,-1.53462455e-10,1.232211411e-10,1.117999799e-05,0.001167398483,2254.86377,-2256.017826,-5.182085689,6.701938907,0,0,0,21.13966735,0.4690400018,0.0005153109281
-0.1686230555,-0.006642527068,0.0009306075478,-1.961350917,-0.001500259342,2.097186223,-2.768303632e-05,-0.001500504711,-2.374339136e-10,4.339039994e-10,-1.268020142e-06,0.0005608994657,2254.86377,-2254.292285,-9.336902992,6.809254295,0,0,0,18.12403059,0.469040003,0.0009284694229
-0.1617712455,-0.005880734913,2.923998365e-16,114625.2819,0,2.097527961,-2.745113108e-09,7.114613055e-24,0,0,0,0,2254.86377,-2255.026835,114619.4219,6.028346883,0,0,0,45.25801468,0.4690400167,-11.39785099
-0.1625230986,-0.006039476315,2.923998365e-16,114625.2578,0,2.097616414,4.555632094e-08,-1.245340357e-21,0,0,0,0,2254.86377,-2255.217449,114619.4219,6.191078643,0,0,0,39.22570038,0.4690400167,-11.39785099
