%"phi","phi_dot","elevations","pressure","dphi_dn","fluid_vel_x","fluid_vel_y","fluid_vel_z","nodes_vel_x","nodes_vel_y","nodes_vel_z","break_wave_press","comp_1","comp_2","comp_3","comp_4","iges_normals_x","iges_normals_y","iges_normals_z","Points:0","Points:1","Points:2"
-0.1747742266,-0.006756357653,0,114626.2704,0,2.097485995,2.713897086e-06,4.08173873e-21,0,0,0,0,2254.86377,-2254.936739,114619.4219,6.925944626,0,0,0,-14.82291031,1.98484007,-11.39785099
-0.1744049037,-0.006810163943,-6.186752638e-16,114626.1454,0,2.097570727,8.951795428e-06,-4.504040351e-20,0,0,0,0,2254.86377,-2255.118986,114619.4219,6.981107283,0,0,0,-8.745007515,1.98484007,-11.39785099
-0.1608530284,-0.005711878381,0.001866654097,-12.9704873,0.0001556942381,2.09750578,5.056502014e-06,0.0001556990893,-3.751729608e-12,6.145958717e-13,2.777015753e-05,0.01238032493,2254.86377,-2254.979357,-18.71003914,5.855246538,0,0,0,45.25967824,1.984840054,0.00186054184
-0.1616455935,-0.006008785671,0.001419997997,-8.6881864,0.000217288734,2.097701479,4.549785496e-06,0.000217302938,-9.999123438e-12,2.334241661e-12,2.952290685e-05,0.008750531518,2254.86377,-2255.399979,-14.31144297,6.159606264,0,0,0,39.22868123,1.984840031,0.001423141869
-0.1634021172,-0.006242125528,0.001268576568,-6.690432502,-0.0001822443789,2.0975947,-4.736944392e-05,-0.0001822618881,-2.355769484e-11,1.596300136e-11,2.046250862e-05,0.005577289595,2254.86377,-2255.170666,-12.78225518,6.398803082,0,0,0,33.19714196,1.984839977,0.001271078094
-0.174906508,-0.006726295222,0.0006963111244,0.0180350367,6.107485639e-05,2.097397915,2.615696311e-05,6.107517677e-05,-4.608704386e-08,5.157345092e-09,2.85577235e-05,1.171096107e-11,2254.86377,-2254.747495,-6.993390525,6.895125143,0,0,0,-11.78435766,1.984839935,0.0006954286043
-0.1753929339,-0.006836613351,0.0007483197497,0.08052267658,8.578151339e-05,2.09714891,9.598827782e-05,8.577076654e-05,-8.087833474e-08,1.50806741e-08,4.567069709e-05,4.066856733e-11,2254.86377,-2254.212034,-7.579311935,7.008212399,0,0,0,-8.745702407,1.984839971,0.0007536931303
-0.1748843596,-0.006707417536,0.000677711613,0.03031927041,-5.19500335e-06,2.097473324,3.403496597e-06,-5.195150723e-06,-2.062495334e-08,9.937567854e-10,2.863461093e-06,1.3026295e-12,2254.86377,-2254.909473,-6.799718732,6.875773973,0,0,0,-14.82308944,1.984839993,0.0006761697027
-0.1634771767,-0.006328550142,0.001053497579,-4.528860806,0.0004262331546,2.097643358,1.002814581e-05,0.0004262520387,-3.747820699e-11,4.905890637e-11,2.049739485e-05,0.004235086187,2254.86377,-2255.275458,-10.60459746,6.487396729,0,0,0,30.18106267,1.984840033,0.001054530024
-0.1638963486,-0.006409274273,0.000748258267,-2.04647733,0.0007388098366,2.097959509,8.077453436e-05,0.0007388296881,-5.507776816e-11,8.994298949e-11,2.07180348e-05,0.002969305783,2254.86377,-2255.955654,-7.524133677,6.570146782,0,0,0,27.16467951,1.984839943,0.0007482061393
-0.1662228803,-0.006474388767,0.0007323507557,-1.902596629,-0.0002285422033,2.098006347,2.585042102e-05,-0.0002285993837,-9.596524899e-11,2.453997565e-10,1.633977581e-05,0.002017128592,2254.86377,-2256.05626,-7.347359648,6.636895699,0,0,0,24.14787304,1.984839971,0.0007306275811
-0.169028792,-0.006539514445,0.0006779281339,-1.156025216,-0.001942793736,2.097953981,-4.571589918e-05,-0.00194305213,-1.418317897e-10,4.468965719e-10,1.20130166e-05,0.001138345855,2254.86377,-2255.943671,-6.777604903,6.703656479,0,0,0,21.13045168,1.984840008,0.0006739706876
-0.1671861292,-0.006634802196,0.001197304544,-4.694459744,0.002275132451,2.097206631,-0.0001022118692,0.00227706476,-2.288361391e-10,1.44593596e-09,-5.407030031e-07,0.0006697367049,2254.86377,-2254.340332,-12.01790346,6.801335643,0,0,0,18.66131465,1.984840012,0.001195070367
-0.1617718479,-0.005881659007,1.237350528e-15,114625.284,0,2.097527898,-1.169991978e-08,-2.206406944e-21,0,0,0,0,2254.86377,-2255.02677,114619.4219,6.02929417,0,0,0,45.25801468,1.98484007,-11.39785099
-0.1625226904,-0.006039961833,1.237350528e-15,114625.2578,0,2.097616351,1.928214279e-07,-2.543253657e-21,0,0,0,0,2254.86377,-2255.217189,114619.4219,6.19157632,0,0,0,39.22570038,1.98484007,-11.39785099
-0.1667699419,-0.006657313447,0.001288217325,-5.27987866,0.003220977843,2.097061333,-0.000126639989,0.003223358345,-2.484174159e-10,1.673906947e-09,-2.943085805e-06,0.0005662789667,2254.86377,-2254.028634,-12.93840357,6.824411849,0,0,0,18.11257563,1.984840012,0.001286605668
-0.1727237591,-0.006821024272,-0.001116005663,8.79330957,-0.0006492956573,2.101784154,0.0001190497869,-0.0006524154028,-3.254684161e-10,3.325433376e-09,1.05433415e-05,0.0001586055108,2254.86377,-2264.173646,11.12679021,6.992231488,0,0,0,15.09639961,1.984840017,-0.001106457287
-0.1637042465,-0.006227265803,1.237350528e-15,114625.3125,0,2.097679604,2.045119806e-07,9.495098937e-21,0,0,0,0,2254.86377,-2255.35309,114619.4219,6.383586203,0,0,0,33.19338608,1.98484007,-11.39785099
-0.1776040839,-0.006955220318,0.000958634679,0.3152532476,0.0001575712488,2.096086743,0.0005410030111,0.000157406001,-1.923570621e-07,7.003395333e-08,4.537660895e-05,-9.615759611e-11,2254.86377,-2251.92954,-9.74862933,7.129796593,0,0,0,-5.707660131,1.984840008,0.0009694118124
-0.1806675155,-0.006995445936,0.001283070708,-0.2142903614,0.0007536815518,2.094824956,0.001921656045,0.0007522119192,-3.181083324e-07,1.730981635e-07,3.947556717e-05,-6.650717416e-13,2254.86377,-2249.220644,-13.0277335,7.171033047,0,0,0,-4.189197747,1.984839955,0.001295488707
-0.1761931433,-0.006899288484,0.0008544530776,-0.159833603,0.0002634329152,2.096778633,0.0002052855397,0.000263380283,-1.330501976e-07,3.612450932e-08,4.711430823e-05,-4.98104474e-11,2254.86377,-2253.416355,-8.679605872,7.072460899,0,0,0,-7.22665305,1.984840011,0.0008631072315
-0.1753929339,-0.006836613492,0.0007483197673,0.08052449313,8.578151559e-05,2.097148837,9.598827712e-05,8.577076433e-05,-8.08783757e-08,1.508067959e-08,4.567069709e-05,4.066856733e-11,2254.86377,-2254.212108,-7.579311935,7.008212399,0,0,0,-8.745702697,1.984839971,0.0007536931303
-0.1798198394,-0.006841955066,0.0001671559942,5.349408558,-0.01335122879,2.097309999,-0.002666384489,-0.01330784893,-3.301608981e-10,5.317597144e-09,3.137526346e-05,5.827963101e-05,2254.86377,-2254.717114,-1.788867527,7.013688421,0,0,0,13.58830386,1.984839972,0.000177886401
-0.1727237591,-0.006821024272,-0.001116005663,8.794126727,-0.0006492956597,2.101784154,0.0001190497869,-0.0006524154076,-3.254658238e-10,3.325456941e-09,1.054333263e-05,0.0001586055108,2254.86377,-2264.173686,11.12679013,6.992231488,0,0,0,15.09639961,1.984839997,-0.001106457278
-0.1692903073,-0.006806499944,0.005818208121,-24.44733455,-0.002338751477,2.084714387,-0.003813486782,-0.002402061863,-2.412773012e-10,7.65908977e-09,3.333522753e-05,2.595726102e-06,2254.86377,-2227.46782,-58.57223675,6.977344072,0,0,0,12.08020565,1.984840061,0.00582447188
-0.1875178757,-0.007003500833,0.002008184086,-0.6306641761,0.0008309599633,2.091610329,0.00802514237,0.0008163776422,-3.410112302e-07,3.886875224e-07,2.555761454e-05,1.27773973e-10,2254.86377,-2242.352737,-20.31540667,7.179294356,0,0,0,-2.671001633,1.984840043,0.002020180942
-0.1919790254,-0.006990000975,0.002170738829,0.1077272361,-2.407630533e-05,2.090466504,0.01449777013,-5.747056129e-05,-2.883031499e-07,3.941718432e-07,1.886828557e-05,-2.696089418e-11,2254.86377,-2239.981479,-21.93260987,7.165458928,0,0,0,-2.009696086,1.984840045,0.002180997023
-0.1951599582,-0.006963698136,0.0008274426089,-6.255826364,-0.007659612514,2.099647188,0.0202016854,-0.007674237248,-1.94940129e-07,2.264540749e-07,1.293203833e-05,-7.178808775e-11,2254.86377,-2259.849495,-8.401487902,7.138490902,0,0,0,-1.346730136,1.984839989,0.0008354509742
