%"phi","phi_dot","elevations","pressure","dphi_dn","fluid_vel_x","fluid_vel_y","fluid_vel_z","nodes_vel_x","nodes_vel_y","nodes_vel_z","break_wave_press","comp_1","comp_2","comp_3","comp_4","iges_normals_x","iges_normals_y","iges_normals_z","Points:0","Points:1","Points:2"
-0.1755617973,-0.006378957135,0,114625.9531,0,2.097454433,-1.196339944e-08,-4.45582595e-06,0,0,0,0,2254.86377,-2254.86377,114619.4219,6.539069242,0,0,0,-51.29032898,1.481480053,-11.39785099
-0.1756592427,-0.006270933109,0.0006370788589,0.09291702757,0,2.09745378,2.838759265e-09,-1.150187242e-05,0,0,-1.897231538e-05,0,2254.86377,-2254.86377,-6.331751816,6.428333616,0,0,0,-51.29032898,1.481480053,0.0006296346601
-0.1606876588,-0.005501654692,0.002265058829,-16.87990951,0,2.097460113,-2.406933964e-07,0.000140675748,0,0,-3.522378654e-07,0,2254.86377,-2254.86377,-22.50211883,5.639746193,0,0,0,51.29032898,1.481480053,0.002237629497
-0.1613485802,-0.005745435586,0.0005767290008,84823.35303,0,2.097458878,-2.408054457e-07,3.035993977e-05,0,0,9.442253166e-07,0,2254.86377,-2254.86377,84817.48249,5.889646017,0,0,0,51.29032898,1.481480053,-8.434321261
-0.1755489114,-0.006423124919,0.0006550101434,-0.006882573154,-1.701013797e-05,2.097470284,9.587649176e-09,-1.643414338e-05,-2.316703778e-10,8.315922683e-14,-1.962656259e-05,-3.7424965e-14,2254.86377,-2254.902895,-6.552125622,6.584345338,0,0,0,-39.1345248,1.481480053,0.0006515488452
-0.1752186499,-0.006675672589,0.0006721963618,-0.01133484489,-6.241342651e-06,2.097483489,3.056172994e-08,-6.088427138e-06,-2.296291238e-09,8.242875529e-13,-9.844795788e-06,1.309876131e-13,2254.86377,-2254.931279,-6.786896394,6.843231609,0,0,0,-26.97873581,1.481480053,0.0006748946301
-0.1711320713,-0.006823682794,9.235555812e-16,114625.7856,0,2.097743827,-4.243568292e-06,-9.39308864e-20,0,0,0,0,2254.86377,-2255.491232,114619.4219,6.994977788,0,0,0,3.031820774,1.481480053,-11.39785099
-0.1722646057,-0.006836653264,9.235555812e-16,114625.5444,0,2.09786218,4.164448354e-06,1.311180083e-19,0,0,0,0,2254.86377,-2255.745768,114619.4219,7.008282419,0,0,0,-2.319608489e-16,1.481480053,-11.39785099
-0.1732222333,-0.006839317057,-1.776356839e-15,114625.8597,0,2.097718096,7.057276607e-06,1.093664938e-19,0,0,0,0,2254.86377,-2255.436095,114619.4219,7.0110028,0,0,0,-2.667104483,1.481480053,-11.39785099
-0.1754602563,-0.006462617555,0,114626.0078,0,2.097467661,-8.216947493e-09,-4.949511978e-07,0,0,0,0,2254.86377,-2254.897429,114619.4219,6.624830433,0,0,0,-39.13452148,1.481480053,-11.39785099
