%"phi","phi_dot","elevations","pressure","dphi_dn","fluid_vel_x","fluid_vel_y","fluid_vel_z","nodes_vel_x","nodes_vel_y","nodes_vel_z","break_wave_press","comp_1","comp_2","comp_3","comp_4","iges_normals_x","iges_normals_y","iges_normals_z","Points:0","Points:1","Points:2"
-0.1755617283,-0.006378936153,0,114625.9531,0,2.097454392,-7.946175539e-09,-4.398601955e-06,0,0,0,0,2254.86377,-2254.86377,114619.4219,6.539047756,0,0,0,-51.29032898,0.9838400349,-11.39785099
-0.1756592616,-0.006270865488,0.0006370879418,0.09298334591,0,2.097453718,1.880500118e-09,-1.15158727e-05,0,0,-1.899775444e-05,0,2254.86377,-2254.86377,-6.331757105,6.428264309,0,0,0,-51.29032898,0.9838400349,0.0006296351862
-0.1606758999,-0.005501585322,0.002270546823,-16.93916523,0,2.097462008,-1.597733211e-07,0.0001520759452,0,0,-8.223870308e-07,0,2254.86377,-2254.86377,-22.55719091,5.639675075,0,0,0,51.29032898,0.9838400349,0.002243105923
-0.1614148072,-0.005774131289,0.0003830014986,94834.06821,0,2.097460627,-1.598985918e-07,2.874335667e-05,0,0,6.27053106e-07,0,2254.86377,-2254.86377,94828.17256,5.919061979,0,0,0,51.29032898,0.9838400349,-9.429792637
-0.1755489413,-0.006423080069,0.0006550002777,-0.00673591602,-1.703682621e-05,2.097470284,6.363053102e-09,-1.665430204e-05,-2.432964507e-10,8.733246313e-14,-1.964628979e-05,1.837012776e-14,2254.86377,-2254.902874,-6.551941207,6.584299369,0,0,0,-39.13452497,0.9838400349,0.0006515305065
-0.1752188724,-0.006675668096,0.0006722181517,-0.01141796377,-6.266077231e-06,2.097483458,2.029414309e-08,-6.16450379e-06,-2.41152759e-09,8.656533383e-13,-9.882144671e-06,-6.429522701e-14,2254.86377,-2254.931237,-6.787051226,6.843226987,0,0,0,-26.97873681,0.9838400349,0.0006749100284
-0.1711228068,-0.006823777862,6.133264863e-16,114625.7815,0,2.097745242,-2.818198899e-06,-9.05244134e-20,0,0,0,0,2254.86377,-2255.494259,114619.4219,6.995075388,0,0,0,3.031820774,0.9838400349,-11.39785099
-0.1722669583,-0.006836626346,6.133264863e-16,114625.5321,0,2.097867967,2.765545769e-06,6.551306138e-20,0,0,0,0,2254.86377,-2255.758261,114619.4219,7.008255271,0,0,0,-1.540434981e-16,0.9838400349,-11.39785099
-0.1732375484,-0.006839224998,-1.776356839e-15,114625.857,0,2.097719346,4.686669257e-06,9.901895875e-20,0,0,0,0,2254.86377,-2255.438781,114619.4219,7.010908531,0,0,0,-2.667104483,0.9838400349,-11.39785099
-0.1754601939,-0.006462638903,0,114626.0078,0,2.097467661,-5.457924064e-09,-3.286934595e-07,0,0,0,0,2254.86377,-2254.89744,114619.4219,6.624852314,0,0,0,-39.13452148,0.9838400349,-11.39785099
